타임스탬프,'통계'라는 말을 들으면 떠오르는 이미지를 선택해 주세요(중복 가능),직접 농장/목장을 운영하시나요?,가장 관련이 많은 축종을 선택해 주세요 (중복 가능),강의 시간에 노트북을 지참할 수 있나요?,기존 업무에 엑셀을 활용하고 계시나요?,"통계 프로그래밍 경험이 있나요? (SAS, SPSS, R 등)","다음 수들의 평균은 무엇일까요? (2, 4, 6, 8, 10)","다음 수들의 분산은 무엇일까요? (2, 4, 6, 8)",일반적으로 P-value가 얼마 이하일때 결과에 유의차가 있다고 정의 할까요?,다음 공식은 몇차 방정식일까요?:  y=200*x + 15,"다음 함수 y=ax^2+bx+c 중 ""a값이 음수""인 함수는 무엇일까요? (^2는 제곱을 의미함)",R^2 (R제곱)이 의미하는 것은 무엇일까요?
2017. 9. 15 오전 11:12:36,"흥미롭다, 배워보고 싶다",아니요,특정 축종과 관련된 일을 하지 않음,예,예,예,6,5,0.05,1차,4,모델의 정확도
2017. 9. 15 오전 11:13:47,"흥미롭다, 배워보고 싶다",예,산란계,예,,아니요,,2,0.5,1차,4,모델의 임의변수
2017. 9. 15 오전 11:18:29,배워보고 싶다,아니요,"한우, 낙농",예,예,아니요,6,5,0.05,2차,3,모델의 임의변수
2017. 9. 15 오전 11:20:07,배워보고 싶다,아니요,양돈,예,아니요,아니요,6,2,0.5,2차,1,모델의 상수
2017. 9. 15 오전 11:20:27,배워보고 싶다,아니요,양돈,예,예,아니요,6,5,0.95,1차,2,모델의 고정변수
2017. 9. 15 오전 11:23:48,머리가 아프다,예,"양돈, 육계",아니요,아니요,아니요,6,2,0.95,1차,1,모델의 고정변수
2017. 9. 15 오전 11:31:57,"어렵다, 머리가 아프다",예,양돈,아니요,예,아니요,6,1,0.5,1차,1,모델의 고정변수
2017. 9. 15 오전 11:35:41,배워보고 싶다,아니요,특정 축종과 관련된 일을 하지 않음,아니요,예,예,6,5,0.9,1차,,
2017. 9. 15 오후 12:08:06,배워보고 싶다,예,양돈,예,예,아니요,6,5,0.95,1차,4,모델의 고정변수
2017. 9. 15 오후 6:08:46,머리가 아프다,예,"한우, 낙농",예,아니요,아니요,6,2,0.95,2차,2,모델의 임의변수
2017. 9. 17 오전 11:52:02,머리가 아프다,예,한우,아니요,예,예,6,2,0.5,2차,2,모델의 임의변수